Word,Value
bebauungsplan,1300
strass,840
wahl,668
schul,562
anfrag,553
altglienick,539
bohnsdorf,395
park,349
friedrichshag,347
rahnsdorf,330
adlershof,326
müggelheim,321
oberschöneweid,320
planaufstellungsverfahr,314
haushaltsjahr,300
schöneweid,256
grünau,253
sbahnhof,251
bezirkshaushaltsplan,247
bürgerdeputiert,246
alttreptow,223
mitglied,217
rechtsverordn,212
altstadt,210
wuhlheid,208
kita,203
johannisthal,194
radweg,192
tempo,192
sicher,191
investitionsplan,190
verein,188
ausschussvorsitz,182
radfahr,176
grundschul,176
einzelplan,170
grundstück,168
barrierefrei,166
kreuzung,165
müggelsee,165
kind,164
bezirkshaushaltsrechn,161
wahlperiodespan,160
fürstenwald,158
bürgerfragestund,149
jugend,146
amt,146
grün,144
jugendamt,143
