jahr,18-64 Jahre insgesamt,ab 65 Jahre insgesamt,18-64 Jahre Deutsche,ab 65 Jahre Deutsche,18-64 Jahre Ausländer,ab 65 Jahre Ausländer
2006,0.68,3.45,0.74,,0.35,10.81
2007,0.77,3.67,0.84,3.26,0.4,10.68
2008,0.85,4.05,0.96,3.58,0.46,11.97
2009,0.93,4.25,1.0,3.47,0.63,17.4
2010,0.98,4.35,1.04,3.51,0.71,18.77
2011,1.04,4.6,1.11,3.71,0.74,18.71
2012,1.11,4.84,1.18,3.92,0.76,18.67
2013,1.16,5.13,1.26,4.17,0.77,18.66
2014,1.22,5.26,1.33,4.27,0.79,18.46
2015,1.26,5.54,1.39,4.48,0.79,19.08
2016,1.26,5.52,1.4,4.42,0.77,19.0
2017,1.3,5.72,1.46,4.57,0.8,19.22
2018,1.34,5.9,1.5,4.73,0.82,19.09
2019,1.36,6.08,1.54,4.85,0.84,19.47
2020,1.55,6.36,1.78,5.07,0.89,20.38
2021,1.53,6.69,1.77,5.33,0.89,21.45
