"Kategorie","Datensatz","Beschreibung","Link","offen"
"Bevölkerung und Gesellschaft","Bevölkerungsstatistik","Allgemeine Bevölkerungsstatistik zu Berlin wie Alter, Einwohnerzahl, Staatsangehörigkeit, Religionszugehörigkeit, usw.","<a target='_blank' href='https://www.statistik-berlin-brandenburg.de/grundlagen/Bevoelkerung.asp?Ptyp=50&Sageb=12000&creg=BBB&anzwer=1'>statistik-berlin-brandenburg.de</a>","Ja"
"Stadtraum","Verwaltungsgebiete (administrative Gebietseinheiten)","Flächen der Stadtgebiete, Bezirke und Lebensweltlich orientierte Räume (LOR) von Berlin","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=lor_bez@senstadt&bbox=381788,5817841,396470,5825353'>fbinter.stadt-berlin.de</a>","Ja"
"Wirtschaft und Finanzen","Haushaltsplan","Detaillierte Übersicht über den Berliner Haushaltsplan (Ausgaben und Einnahmen aufgegliedert nach Bereich)","<a target='_blank' href='https://www.berlin.de/sen/finanzen/haushalt/haushaltsplan/artikel.5697.php'>berlin.de</a>","Ja"
"Umwelt","Emissionskataster","Aktuelle Messungen der Messestellen zu Luftschadstoffen in Berlin","<a target='_blank' href='https://luftdaten.berlin.de/lqi'>luftdaten.berlin.de</a>","Ja"
"Stadtraum","Adressen","Geodaten (Punktgeometrien) aller Adressen","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k_adressenberlin@senstadt&bbox=388442,5818680,394850,5822381'>fbinter.stadt-berlin.de</a>","Ja"
"Stadtraum","Liegenschaftskataster","Geodaten des amtlichen Liegenschaftskatasters mit Daten zu Grundstücken und Gebäuden","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=wmsk_alkis@senstadt&bbox=389126,5819202,390835,5820190'>fbinter.stadt-berlin.de</a>","Ja"
"Verkehr","Haltestellen","Standorte Haltestellen und informationen zu Linien, die dort halten","<a target='_blank' href='https://daten.berlin.de/datensaetze/koordinaten-der-zugangsm%C3%B6glichkeiten-zu-stationen-0'>daten.berlin.de</a>","Ja"
"Verkehr","ÖPNV Liniennetz","Das gesamte ÖPNV Liniennetz","<a target='_blank' href='https://daten.berlin.de/datensaetze/vbb-fahrplandaten-gtfs'>daten.berlin.de</a>","Ja"
"Verkehr","ÖPNV Fahrplan","Sollfahrplan für ÖPNV in Berlin","<a target='_blank' href='https://daten.berlin.de/datensaetze/vbb-fahrplandaten-gtfs'>daten.berlin.de</a>","Ja"
"Wirtschaft und Finanzen","Zuwendungen Datenbank","Daten zu Zuwendungen aus Landesmitteln (Geldgeber, Geldempfänger, höhe des Beitrags, usw.)","<a target='_blank' href='https://daten.berlin.de/datensaetze/zuwendungsdatenbank'>daten.berlin.de</a>","Ja"
