date,value
2014-11-04,765
2015-06-19,804
2015-09-12,833
2015-12-17,855
2016-01-19,860
2016-04-04,972
2017-01-10,1156
2017-03-03,1157
2017-03-17,1167
2017-06-23,1511
2017-10-23,1544
2017-10-27,1546
2017-11-28,1547
2018-01-26,1669
2018-03-06,1738
2018-07-06,1753
2018-08-09,1760
2018-09-14,1751
2018-12-21,1689
2019-01-10,1691
2019-01-30,1709
2019-03-06,1768
2019-08-01,2091
2019-09-24,2156
2020-04-07,2194
2020-05-26,2237
2020-08-19,2287
2020-09-25,2371
2021-01-11,2522
2021-04-16,2665
