,Kennung,Name,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
0,01011101,Stülerstr.,4.74,5.15,5.85,5.52,5.74,7.42,7.65,7.84,7.93,8.76,8.66,8.4,8.14
1,01011102,Großer Tiergarten,null,null,null,null,null,null,null,null,null,null,null,null,null
2,01011103,Lützowstr.,10.98,10.83,10.53,11.53,14.01,16.59,17.46,18.5,16.98,18.93,19.37,18.7,20.02
3,01011104,Körnerstr.,21.58,22.92,24.45,27.47,29.26,30.71,32.03,29.89,29.53,28.93,31.14,28.9,27.05
4,01011105,Nördl. Landwehrkanal,null,null,null,null,null,null,4.07,null,null,null,null,2.21,2.37
5,01011201,Wilhelmstr.,2.24,1.9,2.48,2.42,3.02,3.35,3.54,3.81,3.14,3.31,2.91,3.59,3.75
6,01011202,Unter den Linden Nord,null,null,null,null,null,null,null,null,null,null,null,null,null
7,01011203,Unter den Linden Süd,null,null,null,null,null,null,null,null,null,null,null,3.45,3.41
8,01011204,Leipziger Str.,2.91,3.03,3.48,3.18,3.23,3.7,3.43,4.02,4.02,4.31,4.4,4.4,4.6
9,01011301,Charitéviertel,1.81,2.05,2.14,2.53,1.95,2.54,2.94,2.57,2.57,3.09,3.16,2.95,2.94
10,01011302,Oranienburger Str.,3.86,5.09,5.26,5.91,5.61,4.91,5.29,5.35,5.3,5.22,5.01,5.24,5.32
11,01011303,Alexanderplatzviertel,2.91,2.74,2.73,2.68,3.0,3.93,4.5,4.96,5.05,5.26,5.71,6.23,6.7
12,01011304,Karl-Marx-Allee,1.27,1.73,1.74,1.65,1.66,1.84,2.04,2.15,2.16,2.35,2.3,2.69,2.97
13,01011305,Heine-Viertel West,1.29,1.31,1.16,1.15,1.22,1.13,1.49,1.7,1.89,2.01,2.23,1.98,2.14
14,01011306,Heine-Viertel Ost,1.26,1.16,1.48,1.44,1.59,1.91,2.08,2.21,2.19,2.39,2.63,2.86,2.72
15,01011401,Invalidenstr.,4.29,4.33,4.92,5.15,4.55,4.45,5.13,5.54,5.75,5.1,5.31,5.45,5.99
16,01011402,Arkonaplatz,5.25,5.67,5.26,4.93,5.26,5.75,5.8,6.2,5.76,6.13,6.13,6.22,5.62
17,01022101,Huttenkiez,10.31,10.55,9.74,9.92,14.39,14.45,16.67,16.79,16.55,20.33,22.03,21.62,20.27
18,01022102,Beusselkiez,10.86,11.35,11.98,10.08,12.27,16.92,18.0,19.21,19.11,20.57,20.2,21.13,22.71
19,01022103,Westhafen,null,null,null,null,null,null,null,null,null,null,null,null,null
20,01022104,Emdener Str.,10.64,11.46,12.23,11.78,13.06,14.04,14.83,15.46,15.22,16.15,16.4,16.21,16.05
21,01022105,Zwinglistr.,13.33,13.39,14.58,14.2,14.85,15.76,16.19,16.18,15.75,17.19,18.95,19.2,20.07
22,01022106,Elberfelder Str.,5.34,5.3,4.89,4.76,5.38,5.65,5.84,6.45,6.69,6.97,7.07,7.95,7.65
23,01022201,Stephankiez,11.44,11.91,12.23,11.86,12.85,13.33,13.63,13.43,12.46,12.98,14.0,14.17,14.78
24,01022202,Heidestr.,13.33,14.81,12.14,14.97,15.33,14.29,15.53,13.29,16.25,16.07,15.08,16.02,15.05
25,01022203,Lübecker Str.,14.25,14.9,14.62,15.57,15.05,15.75,17.17,18.46,18.62,19.2,19.47,19.64,19.03
26,01022204,Thomasiusstr.,8.02,8.43,8.83,7.02,7.37,7.76,7.62,7.89,7.36,8.42,9.11,9.36,9.62
27,01022205,Zillesiedlung,16.12,18.15,17.66,15.79,19.74,19.37,20.26,21.93,17.8,20.4,21.34,21.3,21.4
28,01022206,Lüneburger Str.,7.67,6.53,7.87,6.8,8.7,8.56,8.93,9.63,9.56,10.21,10.91,10.77,11.73
29,01022207,Hansaviertel,7.91,7.94,7.92,8.43,8.47,8.06,8.58,9.14,9.0,9.47,9.44,9.14,9.15
30,01033101,Soldiner Str.,8.73,9.95,10.19,10.06,11.43,13.73,14.93,15.75,14.35,15.44,16.31,16.97,17.62
31,01033102,Gesundbrunnen,9.77,10.85,10.86,10.03,11.02,11.47,11.65,13.42,13.21,12.88,13.18,14.03,14.38
32,01033201,Brunnenstr.,10.94,12.71,13.89,13.59,14.77,16.9,16.39,16.29,16.83,17.06,17.2,17.53,18.26
33,01033202,Humboldthain Süd,6.59,7.13,8.01,7.71,8.47,8.28,9.02,9.93,9.52,10.64,10.77,11.59,11.93
34,01033203,Humboldthain NW,10.17,10.84,11.71,11.34,12.48,13.25,14.97,14.86,15.0,16.19,17.17,17.41,18.29
35,01044101,Rehberge,5.33,5.36,5.56,5.52,6.41,7.36,7.87,8.25,7.76,8.65,9.18,9.8,10.16
36,01044102,Schillerpark,4.17,4.62,4.4,4.18,4.19,4.68,4.92,5.5,5.57,6.39,6.55,6.72,7.39
37,01044103,Westl. Müllerstr.,8.38,9.85,11.27,10.12,11.88,13.27,14.73,15.03,14.79,16.37,16.81,17.18,17.4
38,01044201,Reinickendorfer Str.,11.65,12.71,13.21,13.4,14.06,14.45,14.79,15.29,15.17,16.74,17.3,18.0,18.08
39,01044202,Sparrplatz,12.04,13.98,13.66,12.53,13.68,14.5,14.69,13.63,13.64,15.68,17.27,17.75,18.26
40,01044203,Leopoldplatz,10.67,12.31,12.47,11.99,13.84,15.15,15.69,16.34,15.69,18.72,19.53,20.27,21.35
41,02010101,Askanischer Platz,20.44,21.17,21.34,19.14,20.61,22.57,24.0,24.31,24.52,25.85,24.19,23.87,23.19
42,02010102,Mehringplatz,18.27,19.5,20.15,18.78,19.29,20.34,21.35,21.61,22.14,24.06,24.37,25.21,25.3
43,02010103,Moritzplatz,10.91,11.43,12.86,12.54,13.47,14.44,14.86,15.85,16.09,16.41,17.27,17.66,17.48
44,02010104,Wassertorplatz,23.11,24.42,24.81,24.85,26.52,28.06,28.83,29.68,29.12,28.99,28.11,27.32,26.89
45,02020201,Gleisdreieck/Entwickl.-gebiet,null,null,null,null,null,null,null,null,null,null,null,null,2.09
46,02020202,Rathaus Yorckstraße,8.98,9.27,9.6,9.65,10.14,9.88,10.64,11.3,10.97,11.68,12.44,12.95,13.54
47,02020203,Viktoriapark,6.57,7.37,8.49,8.21,8.13,8.45,8.84,9.47,9.74,9.62,10.5,10.89,11.45
48,02020204,Urbanstraße,12.43,13.53,13.9,11.18,11.12,11.37,12.91,13.05,12.53,13.43,14.25,14.43,14.35
49,02020205,Chamissokiez,10.76,13.58,13.54,12.05,12.77,13.07,13.38,12.5,12.66,12.91,12.65,12.87,13.14
50,02020206,Graefekiez,11.29,12.85,13.95,12.53,14.29,14.35,15.1,15.87,13.66,16.51,16.21,16.58,16.49
51,02030301,Oranienplatz,25.0,24.52,26.01,23.07,23.51,22.96,25.34,24.77,24.39,26.35,25.71,24.95,22.31
52,02030302,Lausitzer Platz,18.83,19.85,22.16,20.65,21.78,22.2,22.4,21.74,21.19,21.21,21.34,22.11,20.86
53,02030401,Reichenberger Straße,14.57,16.27,16.64,15.5,16.18,15.12,16.03,16.77,14.63,16.16,16.55,16.78,17.2
54,02030402,Wrangelkiez,16.25,17.48,17.53,16.6,17.1,17.5,17.29,17.46,17.01,16.2,16.43,17.39,18.5
55,02040501,Barnimkiez,0.93,0.97,1.31,1.4,1.37,1.41,1.53,1.54,1.38,1.72,1.58,1.78,1.84
56,02040502,Friedenstraße,2.51,2.52,2.95,2.9,2.91,2.74,3.22,3.4,3.36,3.6,3.14,3.11,3.52
57,02040503,Richard-Sorge-Viertel,2.03,2.13,2.5,2.43,2.5,2.2,2.1,1.79,1.65,1.84,2.46,2.66,2.9
58,02040701,Andreasviertel,2.15,2.53,2.93,3.06,2.59,2.86,3.43,3.43,3.81,3.89,3.91,4.09,4.9
